,year,recip,item,giver,reason
0,2015,"The Honorable Barack Obama, President of the United States","Framed etching of Stonehenge. Rec'd—1/15/2015. Est. Value—$2,090.00. Disposition—National Archives and Records Administration","The Right Honorable David Cameron, MP, Prime Minister of the United Kingdom of Great Britain and Northern Ireland",Non-acceptance would cause embarrassment to donor and U.S. Government.
1,2015,"The Honorable Barack Obama, President of the United States","
                                Telegram facsimile from the U.S. to India's Constituent Assembly in 1946. Reproduction of the cover page of a report on India's Constitutional Debates. 17″  x  13″ framed photograph of Marian Anderson's radio interview in India. Hand-carved wooden Jali box with a small wooden latch and photo of Marian Anderson's radio interview in India on the lid. CD set, title: 
                                All India Radio Interview with Ms. Marian Anderson, 18 November 1957, New Delhi.
                                 Hand-carved black wooden Jali box with painting on the lid. Blue Shahmina shawl. Red Shahmina shawl. Beige and cream colored Shahmina shawl. Rec'd—1/25/2015. Est. Value—$1,231.00. Disposition—National Archives and Records Administration
                            ","His Excellency Narendra Modi, Prime Minister of the Republic of India",Non-acceptance would cause embarrassment to donor and U.S. Government.
2,2015,"The Honorable Barack Obama, President of the United States","
                                Model spinning wheel with white tread looped around the wheel. Cloth scroll listing the Seven Social Sins as articulated by Mahatma Ghandi. Book, title: 
                                Mahatma Gandhi.
                                 Book, title: 
                                An Autobiography—The Story of my Experiments with the Truth.
                                 Ivory colored cloth. 56″  x  96″ bronze-colored bust of Mohandas Karamchard Gandhi on a wood base. Small burlap tote bag with zipper. Small burlap bag with velcro closure. Large burlap bag with straps and zippers. Rec'd—1/24/2015. Est. Value—$929.01. Disposition—National Archives and Records Administration
                            ","Mr. Rajnish Kumar, Secretary of the Rajghat Samadhi Committee of the Republic of India",Non-acceptance would cause embarrassment to donor and U.S. Government.
3,2015,"The Honorable Barack Obama, President of the United States","
                                Book, title: 
                                Thoughts and Reflections.
                                 Book, title: 
                                Winged Wonders of Rashtrapati Bhavan RB Series 2012-2014.
                                 Photobook, title: 
                                State Visit of His Excellency Mr. Barack H. Obama, President of the United States of America and Mrs. Michelle Obama to India 25 to 27 January 2015.
                                 Rec'd—1/26/2015. Est. Value—$825.00. Disposition—National Archives and Records Administration
                            ","His Excellency Pranab Mukherjee, President of the Republic of India",Non-acceptance would cause embarrassment to donor and U.S. Government.
4,2015,"The Honorable Barack Obama, President of the United States","
                                Framed watercolor painting of men playing basketball. Book, title: 
                                Ulrich Zeh.
                                 Rec'd—2/9/2015. Est. Value—$440.00. Disposition—National Archives and Records Administration
                            ","Her Excellency Dr. Angela Merkel, Chancellor of the Federal Republic of Germany",Non-acceptance would cause embarrassment to donor and U.S. Government.
5,2015,"The Honorable Barack Obama, President of the United States","Silver bowl with the Qatari insignia in the center and bordered by an alphabetical listing of national capitals and their distance from Doha in kilometers. Rec'd—2/24/2015. Est. Value—$6,500.00. Disposition—National Archives and Records Administration","His Highness Sheikh Tamim bin Hamad Al Thani, Emir of the State of Qatar",Non-acceptance would cause embarrassment to donor and U.S. Government.
6,2015,"The Honorable Barack Obama, President of the United States","Hunter green hardcover book of poetry authored by William Butler Yeats. Crystal presentation bowl with personalized inscription and quotes by Yeats along the top border with shamrocks with a round base. Rec'd—3/16/2015. Est. Value—$10,556.00. Disposition—National Archives and Records Administration","His Excellency Enda Kenny, T.D., Prime Minister of Ireland",Non-acceptance would cause embarrassment to donor and U.S. Government.
7,2015,"The Honorable Barack Obama, President of the United States","10″ diameter blue lapis lazuli vase with stone inlay. 10″ diameter blue lapis lazuli bowl in a mosaic pattern. Rec'd—3/23/2015. Est. Value—$2,425.00. Disposition—National Archives and Records Administration","His Excellency Mohammad Ashraf Ghani, President of the Islamic Republic of Afghanistan",Non-acceptance would cause embarrassment to donor and U.S. Government.
8,2015,"The Honorable Barack Obama, President of the United States",Two 15″  x  10″ glass display panels in bright multicolor with stands. Shirt of sheer white cotton. Rec'd—4/9/2015. Est. Value—$384.79. Disposition—National Archives and Records Administration,"His Excellency Juan Carlos Varela, President of the Republic of Panama",Non-acceptance would cause embarrassment to donor and U.S. Government.
9,2015,"The Honorable Barack Obama, President of the United States","Four etchings on copper plates each depicting a theater: Greek, Roman, Odeaon, and Gaul-Roman. Rec'd—4/16/2015. Est. Value—$760.00. Disposition—National Archives and Records Administration","His Excellency Matteo Renzi, President of the Council of Ministers of the Italian Republic",Non-acceptance would cause embarrassment to donor and U.S. Government.
