,year,recip,item,giver,reason
0,2014,"The Honorable Barack Obama, President of the United States",Six boxes of dates. Twelve bottles of wine. Rec'd—12/20/2013. Est. Value—$509.94. Disposition—Perishable items handled pursuant to United States Secret Service policy,"His Excellency Abdallah Baali, Ambassador of the People's Democratic Republic of Algeria to the United States",Non-acceptance would cause embarrassment to donor and U.S. Government.
1,2014,"The Honorable Barack Obama, President of the United States","Gold and silver men's wristwatch with leather band. Rec'd—1/14/2014. Est. Value—$18,240.00. Disposition—National Archives and Records Administration","Abdullah bin Abdulaziz Al-Saud, Custodian of the Two Holy Mosques, King of the Kingdom of Saudi Arabia",Non-acceptance would cause embarrassment to donor and U.S. Government.
2,2014,"The Honorable Barack Obama, President of the United States",Metallic gold-tone vase with red gemstones. Rec'd—1/22/2014. Est. Value—$430.00. Disposition—National Archives and Records Administration,"His Excellency Usama Al-Nujaifi, Speaker of the Council of Representatives of the Republic of Iraq",Non-acceptance would cause embarrassment to donor and U.S. Government.
3,2014,"The Honorable Barack Obama, President of the United States","
                                Mahogany sculpture, title: 
                                Le Negre Marron
                                 depicting a man drinking from a water jug. Rec'd—2/6/2014. Est. Value—$500.00. Disposition—National Archives and Records Administration
                            ","His Excellency Michel Joseph Martelly, President of the Republic of Haiti",Non-acceptance would cause embarrassment to donor and U.S. Government.
4,2014,"The Honorable Barack Obama, President of the United States","Green fountain pen with gold floral accents with an ink cartridge. Rec'd—2/7/2014. Est. Value—$1,614.00. Disposition—National Archives and Records Administration","His Excellency Fumio Kishida, Minister of Foreign Affairs of Japan",Non-acceptance would cause embarrassment to donor and U.S. Government.
5,2014,"The Honorable Barack Obama, President of the United States","
                                Three bottles of wine. Special-edition six-book set, title: 
                                Memoires du Generale Lafayette
                                . Rec'd—2/9/2014. Est. Value—$2,906.00. Disposition—National Archives and Records Administration. Wine handled pursuant to United States Secret Service Policy
                            ","His Excellency François Hollande, President of the French Republic",Non-acceptance would cause embarrassment to donor and U.S. Government.
6,2014,"The Honorable Barack Obama, President of the United States","
                                Book, title: 
                                Haciendas of the State of Mexico.
                                 Photo album of the North American Leaders' Summit (NALS). Framed and signed photograph of President Obama, the President of the United Mexican States, and the Prime Minister of Canada at NALS. One kilogram pure silver coin engraved with image of Frida Kahlo. Silver cufflinks with the Great Seal of the United States. 1′ x 2′ wool rug in an American Flag pattern. Sculpture of brightly colored flowers, animals, and people attached to clay base. Rec'd—2/19/2014. Est. Value—$3,290.00. Disposition—National Archives and Records Administration
                            ","His Excellency Enrique Peña Nieto, President of the United Mexican States",Non-acceptance would cause embarrassment to donor and U.S. Government.
7,2014,"The Honorable Barack Obama, President of the United States",Framed black and white photograph of the first American consulate in Jerusalem circa 1888. Rec'd—3/3/2014. Est. Value—$440.00. Disposition—National Archives and Records Administration,"His Excellency Benjamin Netanyahu, Prime Minister of the State of Israel",Non-acceptance would cause embarrassment to donor and U.S. Government.
8,2014,"The Honorable Barack Obama, President of the United States",Bottle of cognac. Rec'd—3/3/2014. Est. Value—$615.00. Disposition—Perishable items handled pursuant to United States Secret Service policy,"His Excellency Iurie Leancă, Prime Minister of the Republic of Moldova",Non-acceptance would cause embarrassment to donor and U.S. Government.
9,2014,"The Honorable Barack Obama, President of the United States","
                                Scalloped rim crystal bowl in the shape of Ireland's Croagh Patrick Peak. DVD, title: 
                                Sustainability Starts Here.
                                 Book, title: 
                                My Irish Table.
                                 Silverware knife. Rec'd—3/13/2014. Est. Value—$1,512.00. Disposition—National Archives and Records Administration
                            ","His Excellency Enda Kenny, TD, Prime Minister of Ireland",Non-acceptance would cause embarrassment to donor and U.S. Government.
10,2014,"The Honorable Barack Obama, President of the United States","Framed metallic disc plaque decorated with beads and stones. Framed tile art featuring red, purple, yellow, and white flowers on green vines. Rec'd—3/16/2014. Est. Value—$625.00. Disposition—National Archives and Records Adminsitration","His Excellency Dr. Mahmoud Abbas, President of the Palestinian Authority",Non-acceptance would cause embarrassment to donor and U.S. Government.
