,year,recip,item,giver,reason
0,2019,"The Honorable Donald J. Trump, President of the United States",Vase with floral pattern. Rec'd—1/27/2019. Est. Value—$680.00. Disposition—Transferred to the National Archives and Records Administration (NARA),"His Excellency Liu He, Vice Premier of the People's Republic of China",Non-acceptance would cause embarrassment to donor and U.S. Government.
1,2019,"The Honorable Donald J. Trump, President of the United States","Binoculars. Rec'd—2/20/2019. Est. Value—$1,192.00. Disposition—Transferred to NARA","His Excellency Sebastian Kurz, Chancellor of the Republic of Austria",Non-acceptance would cause embarrassment to donor and U.S. Government.
2,2019,"The Honorable Donald J. Trump, President of the United States",Vase displaying the Statue of Liberty on one side and Ha Long Bay on the other. Rec'd—2/26/2019. Est. Value—$440.00. Disposition—Transferred to NARA,"His Excellency Nguyen Xuan Phuc, Prime Minister of the Socialist Republic of Vietnam",Non-acceptance would cause embarrassment to donor and U.S. Government.
3,2019,"The Honorable Donald J. Trump, President of the United States","Ceramic dragon head. Rec'd—2/27/2019. Est. Value—$1,590.00. Disposition—Transferred to NARA","His Excellency Nguyen Phu Trong, President of the Socialist Republic of Vietnam",Non-acceptance would cause embarrassment to donor and U.S. Government.
4,2019,"The Honorable Donald J. Trump, President of the United States",CZ 75 9mm pistol. Rec'd—3/6/2019. Est. Value—$710.00. Disposition—Transferred to NARA,"His Excellency Andrew Babis, Prime Minister of the Czech Republic",Non-acceptance would cause embarrassment to donor and U.S. Government.
5,2019,"The Honorable Donald J. Trump, President of the United States","Crystal bowl. Rec'd—3/13/2019. Est. Value—$2,700.00. Disposition—Transferred to NARA","His Excellency Leo Varadkar, Prime Minister of Ireland",Non-acceptance would cause embarrassment to donor and U.S. Government.
6,2019,"The Honorable Donald J. Trump, President of the United States","Brazilian hardwood bench carved to resemble a jaguar. Rec'd—3/18/2019. Est. Value—$1,175.00. Disposition—Transferred to NARA","His Excellency Jair Bolsonaro, President of the Federative Republic of Brazil",Non-acceptance would cause embarrassment to donor and U.S. Government.
7,2019,"The Honorable Donald J. Trump, President of the United States",Set of five commemorative coins issued by the Central Bank of The Bahamas. Rec'd—3/22/2019. Est. Value—$700.00. Disposition—Transferred to NARA,"The Right Honorable Hubert Minnis, Prime Minister of the Commonwealth of The Bahamas",Non-acceptance would cause embarrassment to donor and U.S. Government.
8,2019,"The Honorable Donald J. Trump, President of the United States",Brown leather-bound book of Hebrew songs. Rec'd—3/25/2019. Est. Value—$500.00. Disposition—Transferred to NARA,"His Excellency Benjamin Netanyahu, Prime Minister of the State of Israel",Non-acceptance would cause embarrassment to donor and U.S. Government.
9,2019,"The Honorable Donald J. Trump, President of the United States","Painting of President Donald J. Trump on dual pane glass. Rec'd—4/1/2019. Est. Value—$5,250.00. Disposition—Transferred to NARA","His Excellency Nguyen Phu Trong, President of the Socialist Republic of Vietnam",Non-acceptance would cause embarrassment to donor and U.S. Government.
10,2019,"The Honorable Donald J. Trump, President of the United States","Large double frame carved from black stone with image of President Donald J. Trump in precious metal on one side and the coat of arms of Egypt on the reverse. Rec'd—4/9/2019. Est. Value—$4,450.00. Disposition—Transferred to NARA","His Excellency Abdel Fattah El-Sisi, President of the Arab Republic of Egypt",Non-acceptance would cause embarrassment to donor and U.S. Government.
11,2019,"The Honorable Donald J. Trump, President of the United States","Four panel screen with paintings of native wildlife. Rec'd—4/11/2019. Est. Value—$1,339.99. Disposition—Transferred to NARA","His Excellency Moon Jae-in, President of the Republic of Korea",Non-acceptance would cause embarrassment to donor and U.S. Government.
12,2019,"The Honorable Donald J. Trump, President of the United States","
                            Exclusively designed pen set and abridged first-edition copy of 
                            The Second World War
                             by Winston S. Churchill. Rec'd—6/5/2019. Est. Value—$1,050.00. Disposition—Transferred to NARA
                        ",Her Majesty The Queen of the United Kingdom of Great Britain and Northern Ireland,Non-acceptance would cause embarrassment to donor and U.S. Government.
13,2019,"The Honorable Donald J. Trump, President of the United States","Gold, onyx, emerald and diamond statue of an Arabian oryx. Rec'd—7/9/2019. Est. Value—$6,300.00. Disposition—Transferred to NARA","His Highness Sheikh Tamim Bin Hamad Al-Thani, Amir of the State of Qatar",Non-acceptance would cause embarrassment to donor and U.S. Government.
14,2019,"The Honorable Donald J. Trump, President of the United States","Statue of the Grand Maitreya and pure cashmere blanket with embroidered cover. Rec'd—7/31/2019. Est. Value—$1,550.00. Disposition—Transferred to NARA","His Excellency Khaltmaagiin Battulga, President of Mongolia",Non-acceptance would cause embarrassment to donor and U.S. Government.
15,2019,"The Honorable Donald J. Trump, President of the United States","Horus collar adorned with gold and jewels. Rec'd—8/1/2019. Est. Value—$2,940.00. Disposition—Transferred to NARA","His Excellency Abdel Fattah El-Sisi, President of the Arab Republic of Egypt",Non-acceptance would cause embarrassment to donor and U.S. Government.
16,2019,"The Honorable Donald J. Trump, President of the United States","Bronze sculpture of an Arabian horse. Rec'd—9/17/2019. Est. Value—$7,200.00. Disposition—Transferred to NARA","His Royal Highness Prince Salman bin Hamad Al-Khalifa, Crown Prince, Deputy Supreme Commander, and First Deputy Prime Minister of the Kingdom of Bahrain",Non-acceptance would cause embarrassment to donor and U.S. Government.
17,2019,"The Honorable Donald J. Trump, President of the United States",Brass sculpture depicting the Bodhi tree of the Sri Mahabodi Temple. Rec'd—9/17/2019. Est. Value $970.00. Disposition—Transferred to NARA,"His Excellency Narendra Modi, Prime Minister of the Republic of India",Non-acceptance would cause embarrassment to donor and U.S. Government.
18,2019,"The Honorable Donald J. Trump, President of the United States","Replica of the “Bull Headed Lyre” inside a glass presentation case and statue of a crescent moon. Rec'd—9/24/2019. Est. Value—$1,820.00. Disposition—Transferred to NARA","His Excellency Barham Salih, President of the Republic of Iraq",Non-acceptance would cause embarrassment to donor and U.S. Government.
19,2019,"The Honorable Donald J. Trump, President of the United States",Bronze sculpture of cocoa leaves and traditional harvesting equipment. Rec'd—9/30/2019. Est. Value—$520.00. Disposition—Transferred to NARA,"His Excellency Daniel Kablan Duncan, Vice President of the Republic of Côte d'Ivoire",Non-acceptance would cause embarrassment to donor and U.S. Government.
20,2019,"The Honorable Donald J. Trump, President of the United States",Turkish glass candle holder with filigree in gold. Rec'd—11/14/2019. Est. Value—$580.00. Disposition—Transferred to NARA,"His Excellency Recep Tayyip Erdoğan, President of the Republic of Turkey",Non-acceptance would cause embarrassment to donor and U.S. Government.
21,2019,"The Honorable Donald J. Trump, President of the United States",Framed photograph of President Donald J. Trump and First Lady Melania Trump. Rec'd—11/8/2019. Est. Value—$470.00. Disposition—Transferred to NARA,"The Honorable Scott Morrison, MP, Prime Minister of Australia",Non-acceptance would cause embarrassment to donor and U.S. Government.
22,2019,"The Honorable Donald J. Trump, President of the United States","Ottoman Empire rifle. Rec'd—11/25/2019. Est. Value—$8,500.00. Disposition—Transferred to NARA","His Excellency Boyko Borissov, Prime Minister of the Republic of Bulgaria",Non-acceptance would cause embarrassment to donor and U.S. Government.
23,2019,"Mrs. Melania Trump, First Lady of the United States",White gold diamond earrings. Rec'd—3/7/2019. Est. Value—$470.00. Disposition—Transferred to NARA,"Mrs. Monika Babisova, Spouse of the Prime Minister of the Czech Republic",Non-acceptance would cause embarrassment to donor and U.S. Government.
24,2019,"Mrs. Melania Trump, First Lady of the United States","Ornamental Japanese lacquer box and a signed photograph of the Empress. Rec'd—5/27/2019. Est. Value—$1,130.00. Disposition—Transferred to NARA",Her Majesty The Empress of Japan,Non-acceptance would cause embarrassment to donor and U.S. Government.
