,year,recip,item,giver,reason
0,2018,"The Honorable Donald J. Trump, President of the United States","Medal, gold tone metal disk. Rec'd—1/1/2018. Est. value—$625.00. Disposition—Transferred to National Archives Records Administration (NARA)","Gul Nabi Tribal Leader, Logar Province, Afghanistan",Non-acceptance would cause embarrassment to donor and U.S. Government.
1,2018,"The Honorable Donald J. Trump, President of the United States",Hickory golf wooden putter with engravings. Rec'd—1/25/2018. Est. value—$450.00. Disposition—Transferred to NARA,"Tarzisius Caviezel, Mayor of Davos, Switzerland",Non-acceptance would cause embarrassment to donor and U.S. Government.
2,2018,"The Honorable Donald J. Trump, President of the United States",Black leather Chelsea boots from R.M. Williams. Rec'd—2/23/2018. Est. value—$545.00. Disposition—Transferred to NARA,"The Honorable Malcolm Turnbull, Prime Minister of Australia",Non-acceptance would cause embarrassment to donor and U.S. Government.
3,2018,"The Honorable Donald J. Trump, President of the United States","Statue, “The Mother” depicting a female with a headdress and holding an infant. Rec'd—3/1/2018. Est. value—$1,660.00. Disposition—Transferred to NARA","His Excellency Vu Tien Loc, President of the Vietnam Chamber of Commerce and Industry",Non-acceptance would cause embarrassment to donor and U.S. Government.
4,2018,"The Honorable Donald J. Trump, President of the United States","Stone block, quasi rectangular, recognizing Jerusalem as the capital of Israel. Rec'd—3/5/2018. Est. value—$600.00. Disposition—Transferred to NARA","His Excellency Benjamin Netanyahu, Prime Minister of Israel",Non-acceptance would cause embarrassment to donor and U.S. Government.
5,2018,"The Honorable Donald J. Trump, President of the United States","Footed bowl, clear crystal, with American/Irish flags. Rec'd—3/15/2018. Est. value—$3,800.00. Disposition—Transferred to NARA","His Excellency Leo Varadkar, Prime Minister of Ireland",Non-acceptance would cause embarrassment to donor and U.S. Government.
6,2018,"The Honorable Donald J. Trump, President of the United States","Portrait of President Trump with golden frame and gold tone inner edge. Rec'd—4/23/2018. Est. value—$3,100.00. Disposition—Transferred to NARA","His Excellency Nguyen Xuan Phuc, Prime Minister of Vietnam",Non-acceptance would cause embarrassment to donor and U.S. Government.
7,2018,"The Honorable Donald J. Trump, President of the United States","Golf bag, Louis Vuitton, vinyl, brown with beige letters and Photographs, black and white on metal, 7 soldiers standing before U.S. flag. Rec'd—4/24/2018. Est. value—$8,275.00. Disposition—Transferred to NARA","His Excellency Emmanuel Macron, President of France",Non-acceptance would cause embarrassment to donor and U.S. Government.
8,2018,"The Honorable Donald J. Trump, President of the United States",Eating ground mat plus three cushions and leather panels. Rec'd—4/30/2018. Est. value—$450.00. Disposition—Transferred to NARA,"His Excellency Muhammadu Buhari, President of Nigeria",Non-acceptance would cause embarrassment to donor and U.S. Government.
9,2018,"The Honorable Donald J. Trump, President of the United States","Miniature replica in silver of the Registan Ensemble. Rec'd—5/16/2018. Est. value—$2,950.00. Disposition—Transferred to NARA","His Excellency Shavkat Mirziyoyev, President of Uzbekistan",Non-acceptance would cause embarrassment to donor and U.S. Government.
10,2018,"The Honorable Donald J. Trump, President of the United States","Print, limited edition, by Joon-Kwan Kim, depicting white sky over a range of hills. Rec'd—5/22/2018. Est. value—$1,890.00. Disposition—Transferred to NARA","His Excellency Moon Jae-In, President of the Republic of Korea",Non-acceptance would cause embarrassment to donor and U.S. Government.
11,2018,"The Honorable Donald J. Trump, President of the United States",White marble sculpture of a beluga whale. Rec'd—6/8/2018. Est. value—$470.00. Disposition—Transferred to NARA,"The Right Honorable Justin Trudeau P.C. M.P., Prime Minister of Canada",Non-acceptance would cause embarrassment to donor and U.S. Government.
12,2018,"The Honorable Donald J. Trump, President of the United States","Document, facsimile, two printed pages issued 1783 by Queen Mary of Portugal, in mat with molded gold tone frame and Vases, Vista Alegre of Portugal, porcelain. Rec'd—6/27/2018. Est. value—$2,270.00. Disposition—Transferred to NARA","His Excellency Marcelo Rebelo de Sousa, President of Portugal",Non-acceptance would cause embarrassment to donor and U.S. Government.
13,2018,"The Honorable Donald J. Trump, President of the United States",Sterling cufflinks with a purple ruby within a presentation box. Rec'd—7/30/2018. Est. value—$465.00. Disposition—Transferred to NARA,"His Excellency Giuseppe Conte, Prime Minister of Italy",Non-acceptance would cause embarrassment to donor and U.S. Government.
14,2018,"The Honorable Donald J. Trump, President of the United States","FIFA World Cup collector's box with 12 round silver medallions. Rec'd—8/19/2018. Est. value—$1,500.00. Disposition—Transferred to NARA","His Excellency Vladimir Putin, President of Russia",Non-acceptance would cause embarrassment to donor and U.S. Government.
15,2018,"The Honorable Donald J. Trump, President of the United States","Artwork, gold-plated camel standing near a watering hole with palm trees. Rec'd—10/3/2018. Est. value—$2,650.00. Disposition—Transferred to NARA","Salman bin Abd al-Aziz Al Saud, Custodian of the Two Holy Mosques, King of Saudi Arabia",Non-acceptance would cause embarrassment to donor and U.S. Government.
16,2018,"The Honorable Donald J. Trump, President of the United States","Vase, “Cloisonne Moon Flask,” made in Beijing. Rec'd—12/2/2018. Est. value—$2,100.00. Disposition—Transferred to NARA","His Excellency Xi Jinping, President of China",Non-acceptance would cause embarrassment to donor and U.S. Government.
17,2018,"Mrs. Melania Trump, First Lady of the United States","Jewelry set, gilt silver and carnelian with 2 cuff bracelets, rings, pair of earrings, and a necklace. Rec'd—1/16/2018. Est. value—$780.00. Disposition—Transferred to NARA","His Excellency Nursultan Nazarbayev, President of Kazakhstan",Non-acceptance would cause embarrassment to donor and U.S. Government.
18,2018,"Mrs. Melania Trump, First Lady of the United States",Tunic over-garment by Mouftah el Chark Fashion. Rec'd—1/23/2018 Est. value—$450.00. Disposition—Transferred to NARA,"His Excellency, Gabriel Issa, Ambassador of Lebanon to the United States",Non-acceptance would cause embarrassment to donor and U.S. Government.
19,2018,"Mrs. Melania Trump, First Lady of the United States","Clutch, Givenchy of Paris, made in Italy, beige silk in glossy silver tone frame. Rec'd—4/24/2018. Est. value—$850.00. Disposition—Transferred to NARA","Mrs. Brigitte Macron, Spouse of the President of France",Non-acceptance would cause embarrassment to donor and U.S. Government.
20,2018,"Mrs. Melania Trump, First Lady of the United States","Chair, Shosha Kamal Design House, with a scarab beetle design on the back made from polished brass and Chair, Shosha Kamal Design House, with a papyrus flower design made from polished brass. Rec'd—10/6/2018. Est. value—$10,000.00. Disposition—Transferred to NARA","His Excellency Abdel Fattah Al Sisi, President of Egypt",Non-acceptance would cause embarrassment to donor and U.S. Government.
21,2018,"Mrs. Melania Trump, First Lady of the United States","Artwork, bowl and frame ensemble, by Jay Strongwater. Rec'd—5/29/2018. Est. value—$2,000.00. Disposition—Transferred to NARA","His Highness Prince Khalid bin Abdullah, Crown Prince of Saudi Arabia",Non-acceptance would cause embarrassment to donor and U.S. Government.
22,2018,"Mrs. Melania Trump, First Lady of the United States","Candle prickets with a brass saucer. Rec'd—6/26/2018. Est. value—$1,010.00. Disposition—Transferred to NARA","Her Majesty Rania Al Abdullah, Queen of Jordan",Non-acceptance would cause embarrassment to donor and U.S. Government.
23,2018,"Mrs. Melania Trump, First Lady of the United States","Clutch by Delvaux of Belgium. Rec'd—7/11/2018. Est. value—$1,280.00. Disposition—Transferred to NARA","Ms. Amélie Derbaudrenghien, Partner of the Prime Minister of Belgium",Non-acceptance would cause embarrassment to donor and U.S. Government.
24,2018,"Mrs. Melania Trump, First Lady of the United States","Nymphenburg design plates, 6, each bearing green Nymphenburg crowned shield emblem. Rec'd—5/4/2018. Est. value—$23,500.00. Disposition—Transferred to NARA","His Highness Sheikh Tamim bin Hamad Al Thani, Amir of Qatar",Non-acceptance would cause embarrassment to donor and U.S. Government.
25,2018,"Mrs. Melania Trump, First Lady of the United States","Bed cover, “suzani,” displaying a floral pattern. Rec'd—5/16/2018. Est. value—$4,200.00. Disposition—Transferred to NARA","His Excellency Shavkat Mirziyoyev, President of Uzbekistan",Non-acceptance would cause embarrassment to donor and U.S. Government.
26,2018,"Mrs. Melania Trump, First Lady of the United States","Earrings, Leitao & Irmao of Portugal. Rec'd—6/28/2018. Est. value—$1,070.00. Disposition—Transferred to NARA","His Excellency Marcelo Rebelo de Sousa, President of Portugal",Non-acceptance would cause embarrassment to donor and U.S. Government.
27,2018,"Mrs. Melania Trump, First Lady of the United States","Statue, cold cast bronze, depicting a walking elephant with a tree. Rec'd—8/27/2018. Est. value—$1,300.00. Disposition—Transferred to NARA","Her Excellency Margaret Kenyatta, First Lady of Kenya",Non-acceptance would cause embarrassment to donor and U.S. Government.
28,2018,"Mrs. Melania Trump, First Lady of the United States","Boxes, 2, ebony engraved with African animals. Rec'd—10/4/2018. Est. value—$605.00. Disposition—Transferred to NARA","The Honorable Gertrude Mutharika, First Lady of Malawi",Non-acceptance would cause embarrassment to donor and U.S. Government.
29,2018,"Mrs. Melania Trump, First Lady of the United States","Kente cloth, featuring bands of geometrics in several colors. Rec'd—10/11/2018. Est. value—$540.00. Disposition—Transferred to NARA","Osabarimba Kwesi Atta II, Paramount Chief of Ghana",Non-acceptance would cause embarrassment to donor and U.S. Government.
30,2018,"The Honorable Jared Kushner, Assistant to the President and Senior Advisor","Painting, oil on canvas, depicting 3 major snow-covered mountain peaks. Rec'd—1/16/2018. Est. value—$3,400.00. Disposition—Transferred to NARA","His Excellency Nursultan Nazarbayev, President of Kazakhstan",Non-acceptance would cause embarrassment to donor and U.S. Government.
31,2018,"The Honorable Jared Kushner, Assistant to the President and Senior Advisor","Box, rectangular with hinged lid, decorated with 90% silver patterns. Rec'd—8/1/2018. Est. value—$450.00. Disposition—Transferred to NARA","The Honorable Kamal Abbas, General Coordinator of the Center for Trade Unions & Workers' Service, Egypt",Non-acceptance would cause embarrassment to donor and U.S. Government.
32,2018,"The Honorable Jared Kushner, Assistant to the President and Senior Advisor","Bracelets, 2, within a box displaying the cipher of the King of Jordan. Rec'd—9/25/2018. Est. value—$1,500.00. Disposition—Purchased","Her Majesty Rania Al Abdullah, Queen of Jordan",Non-acceptance would cause embarrassment to donor and U.S. Government.
33,2018,"The Honorable Ivanka Trump, Assistant to the President and Advisor","Bracelets, 2, within a box displaying the cipher of the King of Jordan. Rec'd—9/25/2018. Est. value—$1,685.00. Disposition—Purchased","Her Majesty Rania Al Abdullah, Queen of Jordan",Non-acceptance would cause embarrassment to donor and U.S. Government.
34,2018,"The Honorable John Kelly, Assistant to the President and Chief of Staff",Painting of 4 horseman with bows hunting deer. Rec'd—5/16/2018. Est. value—$600.00. Disposition—Pending Transfer to General Services,"His Excellency Shavkat Mirziyoyev, President of Uzbekistan",Non-acceptance would cause embarrassment to donor and U.S. Government.
35,2018,"The Honorable Lawrence Kudlow, Assistant to the President for Economic Policy","Vase, silver-plate, with six-lobed scalloped flaring rim over waisted neck. Rec'd—5/16/2018. Est. value—$430.00. Disposition—Unknown, pending decision in the Gift Office","His Excellency Shavkat Mirziyoyev, President of Uzbekistan",Non-acceptance would cause embarrassment to donor and U.S. Government.
36,2018,"The Honorable Michael R. Pence, Vice President of the United States","Rug, Uzbek, silk pile, repeating field pattern of diamonds against ivory-color field between rows of hexagons joined by bars, surrounded by 7 borders of which the fourth predominates, 1.76 x 1.20 meters, in presentation box. Rec'd—5/16/2018. Est. value—$1,900.00. Disposition—Transferred to NARA","Mrs. Ziroat Mirziyoyeva, Spouse of the President of Uzbekistan",Non-acceptance would cause embarrassment to donor and U.S. Government.
37,2018,"The Honorable Michael R. Pence, Vice President of the United States","Hat, Panama style, “Montecristi,” with black ribbon band, made in Ecuador by Signes, in locking carrying case with silver plaque stating “Lenin Moreno Garces/Presidente Constitucional de la Republica de Ecuador/Rocio Gonzalez de Moreno.” Rec'd—6/28/2018. Est. value—$960.00. Disposition—Transferred to NARA","His Excellency Lenin Moreno, President of Ecuador",Non-acceptance would cause embarrassment to donor and U.S. Government.
